排名,用户名,总分,题目 P1719,题目 P1981,题目 P2367,题目 P3662,题目 P9426
1,JSJ_WuYeHao,500,100,100,100,100,100
2,JSJ_ZhangMingjian,440,100,100,100,100,40
3,JSJ_LingZiYu,330,100,80,80,30,40
4,JSJ_HuangZeJian,320,100,100,100,10,10
5,jsj_LiGuangBin,180,100,0,80,0,0
6,jsj_LinLiGang,160,0,100,60,0,0
7,JSJ_LinZhongXin,150,40,0,100,10,0
8,JSJ_XieJiale,140,0,0,100,0,40
9,SHUJU_qiyue,120,0,0,80,0,40
10,JSJ_liaoshiyi,100,0,100,0,0,0
11,TM_JiangJiaJia,100,0,0,0,0,100
12,JSJ_LiuYiQian,100,0,0,100,0,0
13,JSJ_ChenAnQi,80,0,0,80,0,0
14,JYU_LiQiJie,80,0,0,80,0,0
15,JSJ_Xurunquan,60,0,0,60,0,0
16,JSJ_LiuJunXuan,40,0,0,0,0,40
17,JSJ_himokes,40,20,0,20,0,0
18,JSJ_ZhaoZiCheng,20,0,0,20,0,0
19,JSJ_QiuBiaoQuan,20,0,0,20,0,0
20,JSJ_ZhouRuichen,10,0,0,0,10,0
21,JSJ_HuPengJie,5,0,0,0,0,5
22,JSJ_LiuJiaRun,0,0,0,0,0,0
23,JSJ_ZhangJunYing,0,0,0,0,0,0
24,JSJ_HuGuoWang,0,0,0,0,0,0
25,SXraohanyu,0,0,0,0,0,0
26,JSJ_Yujianye,0,0,0,0,0,0
27,JSJ_LaiJiaHui,0,0,0,0,0,0
28,Pebbleliuruiyu,0,0,0,0,0,0
